ID	Long	Lat	Mean_temp	Seasonal_t	Seasonal_p	Driest_mon	Anual_prec	Eccorreg	Biome	Biome_ID
1435	-89.64733279	41.05058383	9.81752	1064.75537	32.00941	34	936	avaliar	_	NA
1435	-89.64733279	41.05058383	9.81752	1064.75537	32.00941	34	936	avaliar	_	NA
286	-149.7856993	61.22283136	2.15692	916.026	40.79882	36	791	Cook_Inlet_taiga	Boreal_Forests/Taiga	1
286	-149.7856993	61.22283136	2.15692	916.026	40.79882	36	791	Cook_Inlet_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
323	29.00274656	65.99973894	-0.46103	978.73712	31.71006	30	590	Scandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
1292	26.94255883	63.61452263	2.51351	941.53522	34.3101	30	608	Sandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
1292	26.94255883	63.61452263	2.51351	941.53522	34.3101	30	608	Sandinavian_and_Russian_taiga	Boreal_Forests/Taiga	1
148	-2.617965956	38.00654663	10.19057	750.02185	42.21363	10	580	Iberian_sclerophyllous_and_semi_deciduous_forests	Mediterranean_Forests,_Woodlands_&_Scrub	2
345	-118.5035239	44.72664388	2.94532	646.99811	39.34368	19	613	California_coastal_sage_and_chaparral	Mediterranean_Forests,_Woodlands_&_Scrub	2
844	-120.4691765	35.76076457	15.19359	584.44409	90.9282	1	400	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
844	-120.4691765	35.76076457	15.19359	584.44409	90.9282	1	400	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
844	-120.4691765	35.76076457	15.19359	584.44409	90.9282	1	400	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
862	21.73303725	38.44655887	14.28486	646.24487	62.05354	15	778	Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests	Mediterranean_Forests,_Woodlands_&_Scrub	2
862	21.73303725	38.44655887	14.28486	646.24487	62.05354	15	778	Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests	Mediterranean_Forests,_Woodlands_&_Scrub	2
862	21.73303725	38.44655887	14.28486	646.24487	62.05354	15	778	Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests	Mediterranean_Forests,_Woodlands_&_Scrub	2
1188	-121.8620783	37.20860894	15.54831	428.06372	92.29151	2	562	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
1188	-121.8620783	37.20860894	15.54831	428.06372	92.29151	2	562	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
1359	-121.2160827	35.8920538	13.43181	421.48529	93.07697	1	594	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
1359	-121.2160827	35.8920538	13.43181	421.48529	93.07697	1	594	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
1359	-121.2160827	35.8920538	13.43181	421.48529	93.07697	1	594	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
1513	22.00515656	38.11661083	11.65991	662.7981	56.7794	21	830	Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests	Mediterranean_Forests,_Woodlands_&_Scrub	2
2277	-5.051368466	40.83577799	11.56825	636.81659	32.4757	14	406	Cantabrian_mixed_forests,__Iberian_sclerophyllous_and_semi_deciduous_forests	Mediterranean_Forests,_Woodlands_&_Scrub	2
2277	-5.051368466	40.83577799	11.56825	636.81659	32.4757	14	406	Cantabrian_mixed_forests,__Iberian_sclerophyllous_and_semi_deciduous_forests	Mediterranean_Forests,_Woodlands_&_Scrub	2
2358	-121.9967545	37.68551797	15.06285	481.60986	89.30455	1	475	California_interior_chaparral_and_woodlands	Mediterranean_Forests,_Woodlands_&_Scrub	2
1376	144.9087165	-36.66355703	15.10459	507.36041	19.83079	30	544	NA	NA	NA
1376	144.9087165	-36.66355703	15.10459	507.36041	19.83079	30	544	NA	NA	NA
23	-76.92	38.73	13.22134	867.03406	11.07346	71	1072	Northeast_US_Coastal_forests	Northeast_US_Coastal_forests	3
