"Biome","Biome_ID"
"1","_",NA
"3","Boreal_Forests/Taiga",1
"15","Mediterranean_Forests,_Woodlands_&_Scrub",2
"32",NA,NA
"34","Northeast_US_Coastal_forests",3
"57","ropical_&_Subtropical_Grasslands,_Savannas_&_Shrublands",4
"61","Temperate_Broadleaf_&_Mixed_Forests",5
"269","Temperate_Conifer_Forests",6
"284","Temperate_Grasslands,_Savannas_&_Shrublands",7
"358","Tropical_&_Subtropical_Dry_Broadleaf_Forests",8
"359","Tropical_&_Subtropical_Grasslands,_Savannas_&_Shrublands",9
"365","Tropical_&_Subtropical_Moist_Broadleaf_Forests",10
